title,artist,year,position,mood_tone,instrumentation,genre
All Shook Up,Elvis Presley,1957,1,"excited, playful, romantic","electric guitar, drums, male vocals","rock and roll, pop"
Love Letters in the Sand,Pat Boone,1957,2,"nostalgic, sentimental, tender","piano, guitar, soft male vocals","traditional pop, ballad"
Little Darlin,The Diamonds,1957,3,"fun, upbeat, doo-wop energy","male vocal harmony, handclaps, doo-wop rhythm","doo-wop, rock and roll"
Young Love,Tab Hunter,1957,4,"romantic, youthful, innocent","orchestral strings, acoustic guitar, male vocals","pop, traditional pop"
So Rare,Jimmy Dorsey,1957,5,"sultry, smooth, jazzy","saxophone, jazz orchestra, male vocals","big band, jazz, pop"
Volare (Nel blu dipinto di blu),Domenico Modugno,1958,1,"romantic, soaring, dreamy","orchestral backing, male vocals, accordion","traditional pop, Italian pop"
All I Have to Do Is Dream,The Everly Brothers,1958,2a,"tender, nostalgic, harmonious","acoustic guitar, male vocal harmonies","rockabilly, pop, ballad"
Claudette,The Everly Brothers,1958,2b,"energetic, fun, upbeat","electric guitar, upbeat rhythm, male vocals","rockabilly, pop"
Don't,Elvis Presley,1958,3a,"pleading, romantic, slow-burning","slow tempo, crooning male vocals, strings","pop ballad, rock and roll"
I Beg of You,Elvis Presley,1958,3b,"hopeful, loving, upbeat","mid-tempo, electric guitar, male vocals","pop, rock and roll"
Witch Doctor,David Seville,1958,4,"playful, humorous, quirky","chipmunk vocals, piano, percussion","novelty, pop, rock and roll"
Patricia,Perez Prado,1958,5,"festive, exotic, upbeat","brass, Latin percussion, piano","mambo, Latin jazz, instrumental"
The Battle of New Orleans,Johnny Horton,1959,1,"playful, patriotic, storytelling","banjo, snare drum, fiddle, male vocals","country, novelty song"
Mack the Knife,Bobby Darin,1959,2,"slick, confident, jazzy","big band, brass, swinging rhythm, male vocals","jazz, swing, traditional pop"
Personality,Lloyd Price,1959,3,"fun, charismatic, catchy","piano, horns, strong rhythm section, male vocals","R&B, pop"
Venus,Frankie Avalon,1959,4,"romantic, dreamy, sincere","orchestral strings, male vocals","traditional pop, ballad"
Lonely Boy,Paul Anka,1959,5,"melancholic, heartfelt, nostalgic","piano, strings, soft male vocals","pop, ballad"
The Theme from 'A Summer Place',Percy Faith,1960,1,"romantic, serene, nostalgic","orchestral strings, soft horns, lush arrangement","instrumental pop, easy listening"
He'll Have to Go,Jim Reeves,1960,2,"heartfelt, longing, somber","baritone vocals, acoustic guitar, soft piano","country, traditional pop"
Cathy's Clown,The Everly Brothers,1960,3,"melancholic, regretful, soft","male vocal harmonies, gentle rhythm guitar","pop, rock and roll"
Running Bear,Johnny Preston,1960,4,"tragic, sentimental, narrative","narrative vocals, rock instrumentation, backing vocals","rock and roll, pop"
Teen Angel,Mark Dinning,1960,5,"sad, dramatic, emotional","male vocals, strings, slow tempo, tragic tone","teen tragedy, pop"
Tossin' and Turnin',Bobby Lewis,1961,1,"restless, lively, energetic","upbeat piano, saxophone, drums","rhythm and blues, early soul, pop"
I Fall to Pieces,Patsy Cline and The Jordanaires,1961,2,"heartbroken, tender, sorrowful","female vocals, backing harmonies, steel guitar","country, pop ballad"
Michael (Row the Boat Ashore),The Highwaymen,1961,3,"hopeful, folk, spiritual","acoustic guitar, male chorus, minimal percussion","folk, spiritual"
Crying,Roy Orbison,1961,4,"emotional, passionate, melancholic","falsetto vocals, orchestral backing","pop, rock ballad"
Runaway,Del Shannon,1961,5,"dramatic, anxious, unique","organ, echoing guitar, falsetto vocals","rock and roll, pop"
Stranger on the Shore,Acker Bilk,1962,1,"gentle, melancholic, soothing","clarinet lead, soft strings, light rhythm section","instrumental pop, jazz"
I Can't Stop Loving You,Ray Charles,1962,2,"emotional, rich, nostalgic","orchestral backing, male vocals, piano","soul, country-pop"
Mashed Potato Time,Dee Dee Sharp,1962,3,"playful, upbeat, danceable","female vocals, handclaps, funky rhythm","dance, R&B, pop"
Roses Are Red (My Love),Bobby Vinton,1962,4,"romantic, sentimental, sweet","male vocals, strings, slow tempo","traditional pop, ballad"
The Stripper,David Rose,1962,5,"cheeky, seductive, jazzy","brass, jazz percussion, walking bass","instrumental, jazz, novelty"
Surfin' USA,The Beach Boys,1963,1,"energetic, carefree, summery","electric guitar, surf rock drums, male vocals","surf rock, pop"
The End of the World,Skeeter Davis,1963,2,"melancholic, emotional, reflective","female vocals, soft strings, piano","country-pop, ballad"
Rhythm of the Rain,The Cascades,1963,3,"gentle, nostalgic, soothing","guitar, soft percussion, male vocals","soft rock, pop"
He's So Fine,The Chiffons,1963,4,"playful, romantic, innocent","female vocal harmonies, upbeat rhythm","girl group, pop"
Blue Velvet,Bobby Vinton,1963,5,"romantic, dreamy, sentimental","orchestral strings, smooth male vocals","traditional pop, ballad"
I Want to Hold Your Hand,The Beatles,1964,1,"joyful, upbeat, romantic","electric guitar, drums, vocal harmonies","rock and roll, British Invasion, pop"
She Loves You,The Beatles,1964,2,"excited, youthful, catchy","guitar, bass, harmonized vocals","rock and roll, British Invasion"
"Hello, Dolly!",Louis Armstrong,1964,3,"playful, nostalgic, theatrical","brass, swing rhythm, gravelly male vocals","traditional pop, jazz"
"Oh, Pretty Woman",Roy Orbison,1964,4,"confident, catchy, flirtatious","electric guitar, percussion, strong vocals","rock, pop"
I Get Around,The Beach Boys,1964,5,"rebellious, fun, energetic","guitar, surf rock rhythm, harmonized vocals","surf rock, pop"
Wooly Bully,Sam the Sham and the Pharaohs,1965,1,"fun, chaotic, danceable","organ, saxophone, upbeat drums","garage rock, rock and roll"
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,2,"passionate, soulful, catchy","bass, brass, male vocals","Motown, soul, pop"
(I Can't Get No) Satisfaction,The Rolling Stones,1965,3,"rebellious, gritty, frustrated","electric guitar riff, drums, raw vocals","rock, blues rock"
You Were On My Mind,We Five,1965,4,"reflective, emotional, warm","folk guitar, soft percussion, vocal harmony","folk rock, pop"
You've Lost That Lovin' Feelin',The Righteous Brothers,1965,5,"emotional, dramatic, intense","orchestral backing, male vocal duo","blue-eyed soul, pop"
California Dreamin',The Mamas & The Papas,1966,1,"wistful, longing, melancholic","vocal harmonies, flute, acoustic guitar","folk rock, pop"
96 Tears,? and the Mysterians,1966,2,"raw, emotional, intense","organ, driving rhythm, male vocals","garage rock, proto-punk"
What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,3,"heartbroken, soulful, hopeful","orchestral arrangement, male vocals","soul, Motown"
Last Train to Clarksville,The Monkees,1966,4,"fun, catchy, poppy","electric guitar, pop drums, male vocals","pop rock, bubblegum pop"
Reach Out I'll Be There,Four Tops,1966,5,"urgent, emotional, empowering","orchestral strings, brass, male vocals","Motown, soul"
To Sir With Love,Lulu,1967,1,"sentimental, grateful, tender","orchestral backing, female vocals","pop, ballad"
The Letter,The Box Tops,1967,2,"urgent, longing, direct","gritty male vocals, electric guitar","blue-eyed soul, rock"
Ode to Billie Joe,Bobbie Gentry,1967,3,"mysterious, tragic, narrative","acoustic guitar, narrative lyrics","country-pop, southern gothic"
Windy,The Association,1967,4,"lighthearted, upbeat, whimsical","vocal harmonies, light pop instrumentation",sunshine pop
I'm a Believer,The Monkees,1967,5,"joyful, catchy, romantic","electric guitar, pop drums, male vocals",pop rock
Hey Jude,The Beatles,1968,1,"uplifting, emotional, anthemic","piano, orchestration, vocal build-up","rock, ballad, pop"
Love is Blue,Paul Mauriat,1968,2,"romantic, delicate, serene","orchestral, instrumental","easy listening, instrumental pop"
Honey,Bobby Goldsboro,1968,3,"sentimental, melancholic, soft","acoustic guitar, soft vocals, strings","country-pop, soft rock"
(Sittin' On) The Dock of the Bay,Otis Redding,1968,4,"peaceful, introspective, soulful","whistling, guitar, soft horns","soul, R&B"
People Got to Be Free,The Rascals,1968,5,"hopeful, spirited, passionate","soulful vocals, organ, rhythm section","blue-eyed soul, rock"
"Sugar, Sugar",The Archies,1969,1,"sweet, fun, lighthearted","bubblegum pop production, synths, vocals",bubblegum pop
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,1969,2,"cosmic, uplifting, groovy","orchestral pop, layered vocals, psychedelic sounds","psychedelic soul, pop"
I Can't Get Next to You,The Temptations,1969,3,"frustrated, passionate, funky","funky bass, soul vocals, driving rhythm","Motown, soul"
Honky Tonk Women,The Rolling Stones,1969,4,"rebellious, gritty, bluesy","electric guitar, cowbell, bluesy vocals","rock, blues rock"
Everyday People,Sly and the Family Stone,1969,5,"inclusive, positive, laid-back","funk instrumentation, group vocals","funk, soul, pop"
Bridge Over Troubled Water,Simon and Garfunkel,1970,1,"comforting, powerful, emotional","piano, orchestral strings, soft vocals","folk rock, pop"
(They Long To Be) Close To You,The Carpenters,1970,2,"gentle, romantic, warm","soft vocals, lush arrangements, piano","soft rock, pop"
American Woman,The Guess Who,1970,3,"aggressive, rebellious, energetic","electric guitar riffs, gritty vocals","hard rock, blues rock"
Raindrops Keep Fallin' on My Head,B.J. Thomas,1970,4,"cheerful, light, hopeful","orchestral pop, trumpet, light percussion","pop, soundtrack"
War,Edwin Starr,1970,5,"angry, bold, intense","funky brass, heavy drums, shouted vocals","soul, protest song, funk"
Joy To The World,Three Dog Night,1971,1,"joyful, celebratory, fun","rock band, piano, upbeat chorus","rock, pop"
Maggie May,Rod Stewart,1971,2a,"reflective, bittersweet, rustic","acoustic guitar, mandolin, raspy vocals","folk rock, classic rock"
Reason to Believe,Rod Stewart,1971,2b,"pleading, heartfelt, gentle","acoustic guitar, soft vocals, slow tempo","folk rock, ballad"
I Feel the Earth Move,Carole King,1971,3a,"empowered, emotional, rhythmic","piano, female vocals, strong rhythm","singer-songwriter, pop rock"
It's Too Late,Carole King,1971,3b,"melancholic, introspective, mature","piano, strings, melancholic tone","soft rock, adult contemporary"
One Bad Apple,The Osmonds,1971,4,"playful, youthful, upbeat","funky rhythm, harmonized vocals, pop instrumentation","bubblegum soul, pop"
How Can You Mend a Broken Heart,Bee Gees,1971,5,"melancholic, soulful, emotional","orchestral strings, soft drums, falsetto male vocals","soul, ballad, soft rock"
The First Time Ever I Saw Your Face,Roberta Flack,1972,1,"intimate, emotional, tender","piano, soft strings, female vocals","soul, ballad"
Alone Again (Naturally),Gilbert O'Sullivan,1972,2,"melancholic, reflective, ironic","piano, light strings, male vocals","pop, soft rock"
American Pie,Don McLean,1972,3,"nostalgic, epic, sorrowful","acoustic guitar, piano, vocals with narrative tone","folk rock, ballad"
Without You,Harry Nilsson,1972,4,"heartbroken, dramatic, soaring","piano, orchestral backing, emotional vocals","pop rock, ballad"
The Candy Man,Sammy Davis Jr.,1972,5,"cheerful, whimsical, playful","orchestral arrangement, male vocals, backing chorus","novelty, pop"
Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973,1,"hopeful, heartfelt, upbeat","guitar, piano, vocal harmonies","pop, soft rock"
"Bad, Bad Leroy Brown",Jim Croce,1973,2,"brash, humorous, energetic","piano, electric guitar, male vocals","rock, singer-songwriter"
Killing Me Softly with His Song,Roberta Flack,1973,3,"intimate, emotional, smooth","piano, soft percussion, female vocals","soul, R&B"
Let's Get It On,Marvin Gaye,1973,4,"sensual, soulful, passionate","bass, smooth rhythm, male vocals","soul, R&B"
My Love,Paul McCartney and Wings,1973,5,"romantic, heartfelt, melodic","strings, melodic piano, soft vocals","soft rock, pop"
The Way We Were,Barbara Streisand,1974,1,"nostalgic, sentimental, emotional","orchestral strings, piano, female vocals","ballad, pop"
Seasons in the Sun,Terry Jacks,1974,2,"sad, reflective, melodic","acoustic guitar, soft vocals","folk-pop, soft rock"
Love's Theme,Love Unlimited Orchestra,1974,3,"romantic, elegant, smooth","instrumental strings, disco rhythm","instrumental, disco"
Come and Get Your Love,Redbone,1974,4,"fun, upbeat, funky","bass, drums, electric guitar, vocals","rock, funk"
Dancing Machine,The Jackson 5,1974,5,"playful, energetic, groovy","funk rhythm, synthesizers, group vocals","funk, soul, disco"
Love Will Keep Us Together,Captain & Tennille,1975,1,"romantic, determined, lively","synths, piano, drums, vocal harmony","pop, soft rock"
Rhinestone Cowboy,Glen Campbell,1975,2,"inspirational, nostalgic, hopeful","acoustic guitar, lush strings",country-pop
Philadelphia Freedom,Elton John,1975,3,"spirited, upbeat, anthemic","orchestration, piano, vocal harmonies",pop rock
Before the Next Teardrop Falls,Freddy Fender,1975,4,"bilingual, heartfelt, emotional","accordion, bilingual male vocals","country, Tejano"
My Eyes Adored You,Frankie Valli,1975,5,"sweet, longing, reflective","orchestral backing, soft vocals","pop, soul"
Silly Love Songs,Wings,1976,1,"playful, ironic, catchy","bass line, horns, melodic vocals","pop, soft rock"
Don't Go Breaking My Heart,Elton John and Kiki Dee,1976,2,"charming, flirty, joyful","duet vocals, piano, strings","pop, disco"
Disco Lady,Johnnie Taylor,1976,3,"smooth, sensual, laid-back","soul rhythm section, smooth male vocals","soul, R&B"
"December, 1963 (Oh, What a Night)",The Four Seasons,1976,4,"nostalgic, fun, celebratory","funk groove, falsetto vocals","disco, pop rock"
Play That Funky Music,Wild Cherry,1976,5,"funky, lively, danceable","funk guitar, horns, energetic vocals","funk, rock"
Tonight's the Night (Gonna Be Alright),Rod Stewart,1977,1,"seductive, romantic, smooth","acoustic guitar, soft drums, male vocals","soft rock, pop"
I Just Want To Be Your Everything,Andy Gibb,1977,2,"devoted, loving, emotional","disco beats, strings, falsetto male vocals","disco, pop"
Best of My Love,The Emotions,1977,3,"joyful, uplifting, energetic","funky bassline, harmonized female vocals, brass","R&B, disco, soul"
Evergreen (Love Theme from A Star Is Born),Barbara Streisand,1977,4,"tender, heartfelt, romantic","orchestral strings, soft piano, female vocals",pop ballad
Angel in Your Arms,Hot,1977,5,"bittersweet, sultry, empowering","soulful vocals, electric guitar, steady rhythm","soul, pop"
Shadow Dancing,Andy Gibb,1978,1,"sensual, smooth, energetic","disco rhythm, soft synths, male vocals","disco, pop"
Night Fever,Bee Gees,1978,2,"groovy, vibrant, danceable","disco beats, falsetto harmonies",disco
You Light Up My Life,Debby Boone,1978,3,"uplifting, emotional, pure","piano, soft strings, female vocals",pop ballad
Stayin Alive,Bee Gees,1978,4,"confident, rhythmic, resilient","disco guitar, bass, falsetto vocals","disco, pop"
Kiss You All Over,Exile,1978,5,"romantic, sultry, intimate","soft rock guitar, smooth male vocals","soft rock, disco"
My Sharona,The Knack,1979,1,"edgy, lustful, driven","electric guitar riff, rock drums","power pop, rock"
Bad Girls,Donna Summer,1979,2,"sassy, confident, danceable","disco beats, female vocals, brass","disco, funk"
Le Freak,Chic,1979,3,"funky, energetic, catchy","funk guitar, bass, group vocals","disco, funk"
Do Ya Think I'm Sexy?,Rod Stewart,1979,4,"playful, sensual, poppy","synths, disco rhythm, male vocals","disco, pop rock"
Reunited,Peaches & Herb,1979,5,"romantic, longing, sentimental","slow tempo, duet vocals, soft keys","soul, R&B, ballad"
Call Me,Blondie,1980,1,"bold, seductive, stylish","new wave guitar, synths, strong vocals","new wave, rock, disco"
"Another Brick in the Wall, Part II",Pink Floyd,1980,2,"rebellious, moody, commanding","funky bass, children’s chorus, electric guitar","rock, progressive rock"
Magic,Olivia Newton-John,1980,3,"ethereal, dreamy, hopeful","synths, female vocals, soft beat","pop, soft rock"
Rock with You,Michael Jackson,1980,4,"romantic, smooth, groovy","funk groove, soft percussion, male vocals","soul, R&B, pop"
Do That To Me One More Time,Captain & Tennille,1980,5,"intimate, slow, romantic","piano, soft instrumentation, gentle female vocals","soft rock, pop"
Bette Davis Eyes,Kim Carnes,1981,1,"mysterious, cool, dramatic","synths, drum machine, raspy vocals","synth-pop, new wave"
Endless Love,Diana Ross and Lionel Richie,1981,2,"romantic, passionate, tender","orchestral strings, duet vocals","R&B, soul, pop ballad"
Lady,Kenny Rogers,1981,3,"devoted, heartfelt, gentle","piano, acoustic guitar, soft male vocals","country, pop"
(Just Like) Starting Over,John Lennon,1981,4,"nostalgic, hopeful, bittersweet","piano, drums, male vocals","rock, pop"
Jessie's Girl,Rick Springfield,1981,5,"yearning, energetic, emotional","electric guitar, energetic rhythm, male vocals","power pop, rock"
Physical,Olivia Newton-John,1982,1,"energetic, seductive, cheeky","synths, upbeat rhythm, female vocals","pop, dance-pop"
Eye of the Tiger,Survivor,1982,2,"motivational, intense, aggressive","guitar riffs, driving drums, male vocals","arena rock, hard rock"
I Love Rock 'N Roll,Joan Jett & The Blackhearts,1982,3,"rebellious, powerful, gritty","electric guitar, drums, raw vocals","hard rock, punk rock"
Ebony and Ivory,Paul McCartney and Stevie Wonder,1982,4,"hopeful, harmonious, optimistic","duet vocals, piano, synths","soul-pop, adult contemporary"
Centerfold,The J. Geils Band,1982,5,"playful, nostalgic, teasing","rock band, rhythmic claps, male vocals","rock, new wave"
Every Breath You Take,The Police,1983,1,"obsessive, haunting, smooth","sting’s vocals, clean guitar, steady bassline","rock, new wave"
Billie Jean,Michael Jackson,1983,2,"rhythmic, confident, mysterious","synth bassline, tight rhythm, male vocals","pop, funk"
Flashdance...What a Feeling,Irene Cara,1983,3,"inspiring, powerful, triumphant","synths, orchestral hits, female vocals","pop, dance-pop"
Down Under,Men at Work,1983,4,"quirky, fun, adventurous","flute, reggae beat, male vocals","pop rock, new wave"
Beat It,Michael Jackson,1983,5,"energetic, rebellious, assertive","electric guitar, rock drums, male vocals","rock, pop"
When Doves Cry,Prince,1984,1,"raw, experimental, emotional","synths, drum machine, no bass, expressive vocals","pop, rock, R&B"
What's Love Got to Do with It,Tina Turner,1984,2,"reflective, assertive, soulful","synths, clean guitar, strong female vocals","pop, soul"
Say Say Say,Paul McCartney and Michael Jackson,1984,3,"catchy, rhythmic, smooth","pop instrumentation, layered vocals","pop, soft rock"
Footloose,Kenny Loggins,1984,4,"exuberant, danceable, light","rock guitar, upbeat tempo, male vocals","rock, pop rock"
Against All Odds (Take a Look at Me Now),Phil Collins,1984,5,"heartbroken, dramatic, tender","piano, orchestral backing, emotional vocals","soft rock, pop"
Careless Whisper,George Michael,1985,1,"romantic, sultry, regretful","saxophone, soft synths, male vocals","pop, soul"
Like a Virgin,Madonna,1985,2,"playful, provocative, catchy","synths, pop beat, female vocals","pop, dance-pop"
Wake Me Up Before You Go-Go,Wham!,1985,3,"cheerful, energetic, bright","synth-pop, vibrant beat, vocal harmony","pop, new wave"
I Want to Know What Love Is,Foreigner,1985,4,"soulful, searching, emotional","power ballad instrumentation, strong male vocals","rock, soft rock"
I Feel for You,Chaka Khan,1985,5,"funky, electric, empowering","synths, rap interlude, funk rhythms","funk, R&B"
That's What Friends Are For,Dionne and Friends,1986,1,"reassuring, heartfelt, warm","piano, string backing, vocal harmonies","pop, soul, adult contemporary"
"Say You, Say Me",Lionel Richie,1986,2,"reflective, sentimental, smooth","soft keyboard, mellow male vocals","pop, R&B"
I Miss You,Klymaxx,1986,3,"soft, longing, gentle","minimalist beat, synths, female vocals","R&B, ballad"
On My Own,Patti LaBelle feat. Michael McDonald,1986,4,"vulnerable, soulful, independent","duet vocals, orchestral elements","pop, soul"
Broken Wings,Mr. Mister,1986,5,"mysterious, emotional, introspective","synth-heavy, atmospheric guitars","new wave, rock"
Walk Like an Egyptian,The Bangles,1987,1,"quirky, fun, rhythmic","percussion, electric guitar, layered female vocals","new wave, pop rock"
Alone,Heart,1987,2,"powerful, emotional, yearning","rock instrumentation, powerful female vocals","power ballad, rock"
Shake You Down,Gregory Abbott,1987,3,"smooth, romantic, mellow","synths, slow groove, soft male vocals","R&B, soul"
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,4,"joyful, energetic, loving","synth-driven, dynamic female vocals","dance-pop, pop"
Nothing's Gonna Stop Us Now,Starship,1987,5,"uplifting, anthemic, romantic","rock-pop production, duet vocals","pop rock, soft rock"
Faith,George Michael,1988,1,"confident, rhythmic, catchy","guitar strumming, synths, male vocals","pop rock, dance-pop"
Need You Tonight,INXS,1988,2,"seductive, edgy, groovy","funky guitar, bassline, vocals","new wave, rock"
Got My Mind Set On You,George Harrison,1988,3,"nostalgic, upbeat, energetic","guitar-heavy, pop production",pop rock
Never Gonna Give You Up,Rick Astley,1988,4,"cheerful, bouncy, devoted","synths, programmed drums, male vocals",dance-pop
Sweet Child O'Mine,Guns N' Roses,1988,5,"intense, passionate, rebellious","distorted guitar, drums, powerful vocals",hard rock
Look Away,Chicago,1989,1,"emotional, regretful, slow","soft rock instrumentation, male vocals","soft rock, pop"
My Prerogative,Bobby Brown,1989,2,"confident, funky, bold","funky bass, electronic drums, male vocals","new jack swing, R&B"
Every Rose Has Its Thorn,Poison,1989,3,"sad, heartfelt, raw","acoustic guitar, male vocals","glam metal, power ballad"
Straight Up,Paula Abdul,1989,4,"direct, rhythmic, playful","electronic beats, female vocals",dance-pop
Miss You Much,Janet Jackson,1989,5,"assertive, upbeat, passionate","synths, heavy rhythm, female vocals","R&B, dance-pop"
Hold On,Wilson Phillips,1990,1,"uplifting, empowering, warm","vocal harmonies, soft pop backing",pop rock
It Must Have Been Love,Roxette,1990,2,"heartbreaking, reflective, soft","piano, strings, dramatic vocals",pop ballad
Nothing Compares 2 U,Sinead O'Connor,1990,3,"sorrowful, vulnerable, stark","minimalist arrangement, female vocals",alternative rock
Poison,Bell Biv DeVoe,1990,4,"energetic, edgy, funky","synth-heavy beats, male vocals",new jack swing
Vogue,Madonna,1990,5,"glamorous, confident, stylish","vogue samples, house rhythm, female vocals","dance-pop, house"
(Everything I Do) I Do It For You,Bryan Adams,1991,1,"romantic, grand, heartfelt","orchestral backing, rock guitar","pop rock, ballad"
I Wanna Sex You Up,Color Me Badd,1991,2,"seductive, smooth, playful","slow jam groove, harmonies","R&B, new jack swing"
Gonna Make You Sweat,C&C Music Factory,1991,3,"energetic, club-ready, bold","synths, vocal samples, dance beat",dance-pop
Rush Rush,Paula Abdul,1991,4,"dreamy, romantic, sentimental","synths, slow rhythm, female vocals",pop ballad
One More Try,Timmy T,1991,5,"pleading, emotional, soft","minimalist keys, male vocals","freestyle, pop"
